frame,joint,player1_x,player1_y,player2_x,player2_y
0,0,1296.9142,721.49817,793.8406,124.55281
0,1,1276.8561,713.8884,795.82776,121.28006
0,2,1296.3085,717.433,791.42365,121.60886
0,3,1274.0908,716.4739,799.6312,122.735275
0,4,1295.1213,719.97974,788.6055,123.38025
0,5,1256.8666,734.50146,807.73364,134.46385
0,6,1298.6672,745.328,783.91254,135.59074
0,7,1244.339,760.1877,812.89075,148.66464
0,8,1292.7898,772.5927,783.46106,148.83905
0,9,1241.3821,780.8176,809.9702,159.47554
0,10,1280.2305,787.7815,789.3677,159.01816
0,11,1255.9047,800.2086,806.50195,161.04219
0,12,1282.9115,801.4181,791.85205,161.12802
0,13,1273.675,831.8761,822.11993,183.45058
0,14,1289.3625,836.2343,783.52325,187.77167
0,15,1281.6625,864.45593,836.51984,202.25931
0,16,1292.8405,877.3132,790.3784,205.93088
1,0,1291.4342,720.55426,788.52734,123.71342
1,1,1273.1954,714.52313,790.92664,120.90798
1,2,1291.1112,716.762,786.3975,120.7309
1,3,1268.8799,716.4965,794.4931,122.12536
1,4,1290.1661,719.76776,782.784,122.35534
1,5,1253.2274,735.6091,802.54504,133.53497
1,6,1295.0454,744.4647,778.3723,135.08002
1,7,1239.9434,761.8242,808.6208,147.0448
1,8,1292.2019,767.82117,778.676,148.28577
1,9,1240.9349,781.9286,805.4139,158.34195
1,10,1278.3344,783.5242,785.02905,157.3194
1,11,1255.7975,802.19965,802.3863,161.19281
1,12,1282.7134,802.1635,788.2445,161.98221
1,13,1266.1304,832.5884,818.3129,185.0344
1,14,1289.0425,837.8558,782.0831,188.80688
1,15,1269.3124,861.2772,834.31555,202.35315
1,16,1293.6323,878.75525,791.231,205.7298
2,0,1285.5885,717.62317,780.47675,123.9994
2,1,1261.8405,711.9516,782.419,120.90803
2,2,1283.7153,713.8738,777.9902,120.77918
2,3,1260.8872,716.5691,785.6771,122.22123
2,4,1282.0676,717.7329,774.543,122.57444
2,5,1247.0101,737.44604,794.4639,132.58331
2,6,1289.6394,742.7943,771.96344,134.54681
2,7,1233.2346,766.661,801.6524,146.0617
2,8,1289.261,765.74,772.6213,148.17258
2,9,1240.3888,787.17615,798.7856,156.96619
2,10,1275.3046,783.9642,778.10614,157.91107
2,11,1253.8187,802.25775,795.44867,161.16263
2,12,1280.6776,801.5527,781.59406,162.25922
2,13,1252.3594,833.6324,810.17,184.22119
2,14,1286.9431,837.1956,779.14105,188.58737
2,15,1253.9164,865.98535,826.5239,200.07379
2,16,1292.1222,879.26917,788.45386,204.34631
3,0,1286.1033,718.12476,779.88617,123.79609
3,1,1261.232,711.92065,781.8833,120.74326
3,2,1284.2421,714.4259,777.6189,120.82163
3,3,1261.0144,716.73474,785.87994,121.82775
3,4,1282.595,718.07153,774.79944,122.731346
3,5,1246.9817,737.27454,794.6061,132.44916
3,6,1289.7478,742.9906,771.8378,134.49786
3,7,1233.5833,766.1439,801.9519,146.01407
3,8,1289.2705,766.2313,772.85474,148.58966
3,9,1240.3413,786.99194,800.4429,157.18295
3,10,1276.4297,784.104,778.9342,159.07309
3,11,1253.7305,801.83826,796.31824,161.99881
3,12,1280.67,801.29346,782.1653,163.12833
3,13,1252.3912,832.88464,810.3878,184.2605
3,14,1286.5724,837.53516,779.55695,188.2207
3,15,1253.9694,865.96875,825.8032,199.72726
3,16,1292.3931,879.4933,789.0173,205.02612
4,0,1277.2422,717.37585,775.54706,123.00513
4,1,1255.4679,712.4847,777.56647,119.648315
4,2,1277.1042,713.11957,773.04175,119.846756
4,3,1255.1631,716.02045,781.23926,120.70708
4,4,1276.5718,716.326,769.769,121.73775
4,5,1242.883,737.6336,789.0684,131.50966
4,6,1285.7207,741.3457,767.85614,134.0713
4,7,1231.4332,766.2217,797.60657,144.76848
4,8,1287.2506,764.13135,768.6039,148.08131
4,9,1237.061,786.4485,795.614,156.80237
4,10,1273.3265,780.9507,774.1728,158.63625
4,11,1250.5935,800.90314,792.74945,162.71751
4,12,1277.7504,800.36945,778.96497,163.11018
4,13,1243.9563,828.4257,803.25165,186.12401
4,14,1285.2655,836.8408,779.09467,189.32835
4,15,1241.8694,865.67865,818.69763,200.4214
4,16,1291.5782,878.7449,788.7137,204.16988
5,0,1246.2102,711.6956,768.1224,121.70892
5,1,1247.1206,708.8302,770.07513,118.05408
5,2,1269.6074,709.18036,765.421,118.57541
5,3,1247.5986,713.02515,773.578,119.12393
5,4,1268.8287,713.19025,762.0928,120.60777
5,5,1236.467,735.85236,781.78876,130.52313
5,6,1279.711,737.84973,761.1972,132.4026
5,7,1226.2335,767.2101,789.8145,145.28006
5,8,1281.1246,762.85675,762.56573,146.10883
5,9,1232.5614,784.9506,786.20886,158.44055
5,10,1266.8864,779.3638,767.98737,157.31625
5,11,1244.2831,799.31335,785.34827,163.24072
5,12,1272.3861,799.01294,773.3504,163.61957
5,13,1232.3284,826.35675,787.61755,186.46033
